Lambda,f2,r_int,G,f0,c_g,g2
1.0,0.25,1,9.42477796076938,0.5,0.5,473.7410112522892
1.0,0.25,1,9.42477796076938,0.5,1.0,236.8705056261446
1.0,0.25,1,9.42477796076938,0.5,3.0,78.95683520871486
1.0,0.25,1,9.42477796076938,1.0,0.5,236.8705056261446
1.0,0.25,1,9.42477796076938,1.0,1.0,118.4352528130723
1.0,0.25,1,9.42477796076938,1.0,3.0,39.47841760435743
1.0,0.25,1,9.42477796076938,2.0,0.5,118.4352528130723
1.0,0.25,1,9.42477796076938,2.0,1.0,59.21762640653615
1.0,0.25,1,9.42477796076938,2.0,3.0,19.739208802178716
1.0,0.25,2,4.71238898038469,0.5,0.5,473.7410112522892
1.0,0.25,2,4.71238898038469,0.5,1.0,236.8705056261446
1.0,0.25,2,4.71238898038469,0.5,3.0,78.95683520871486
1.0,0.25,2,4.71238898038469,1.0,0.5,236.8705056261446
1.0,0.25,2,4.71238898038469,1.0,1.0,118.4352528130723
1.0,0.25,2,4.71238898038469,1.0,3.0,39.47841760435743
1.0,0.25,2,4.71238898038469,2.0,0.5,118.4352528130723
1.0,0.25,2,4.71238898038469,2.0,1.0,59.21762640653615
1.0,0.25,2,4.71238898038469,2.0,3.0,19.739208802178716
1.0,0.25,4,2.356194490192345,0.5,0.5,473.7410112522892
1.0,0.25,4,2.356194490192345,0.5,1.0,236.8705056261446
1.0,0.25,4,2.356194490192345,0.5,3.0,78.95683520871486
1.0,0.25,4,2.356194490192345,1.0,0.5,236.8705056261446
1.0,0.25,4,2.356194490192345,1.0,1.0,118.4352528130723
1.0,0.25,4,2.356194490192345,1.0,3.0,39.47841760435743
1.0,0.25,4,2.356194490192345,2.0,0.5,118.4352528130723
1.0,0.25,4,2.356194490192345,2.0,1.0,59.21762640653615
1.0,0.25,4,2.356194490192345,2.0,3.0,19.739208802178716
1.0,0.5,1,4.71238898038469,0.5,0.5,473.7410112522892
1.0,0.5,1,4.71238898038469,0.5,1.0,236.8705056261446
1.0,0.5,1,4.71238898038469,0.5,3.0,78.95683520871486
1.0,0.5,1,4.71238898038469,1.0,0.5,236.8705056261446
1.0,0.5,1,4.71238898038469,1.0,1.0,118.4352528130723
1.0,0.5,1,4.71238898038469,1.0,3.0,39.47841760435743
1.0,0.5,1,4.71238898038469,2.0,0.5,118.4352528130723
1.0,0.5,1,4.71238898038469,2.0,1.0,59.21762640653615
1.0,0.5,1,4.71238898038469,2.0,3.0,19.739208802178716
1.0,0.5,2,2.356194490192345,0.5,0.5,473.7410112522892
1.0,0.5,2,2.356194490192345,0.5,1.0,236.8705056261446
1.0,0.5,2,2.356194490192345,0.5,3.0,78.95683520871486
1.0,0.5,2,2.356194490192345,1.0,0.5,236.8705056261446
1.0,0.5,2,2.356194490192345,1.0,1.0,118.4352528130723
1.0,0.5,2,2.356194490192345,1.0,3.0,39.47841760435743
1.0,0.5,2,2.356194490192345,2.0,0.5,118.4352528130723
1.0,0.5,2,2.356194490192345,2.0,1.0,59.21762640653615
1.0,0.5,2,2.356194490192345,2.0,3.0,19.739208802178716
1.0,0.5,4,1.1780972450961724,0.5,0.5,473.7410112522892
1.0,0.5,4,1.1780972450961724,0.5,1.0,236.8705056261446
